source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'BBC News'}",,Watch: Pro-Ukraine protesters target JD Vance,The vice-president and his family reportedly moved to an undisclosed location from their planned ski resort as a result.,https://www.bbc.com/news/videos/c2ljkny0j00o,https://ichef.bbci.co.uk/news/1024/branded_news/8f17/live/a7c18df0-f757-11ef-9e61-71ee71f26eb1.jpg,2025-03-02T11:01:40Z,"Protesters holding pro-Ukraine signs lined a road in Waitsfield, Vermont, where Vice-President Vance and his family were visiting for a ski holiday.
US media reported the family moved to an undisclo… [+380 chars]"
"{'id': None, 'name': 'BBC News'}",,Vance sparks row with Ukraine peacekeeping remarks,"The US vice-president has suggested ""20,000 troops from some random country"" will not deter Putin.",https://www.bbc.com/news/articles/czx7w7q7qzro,https://ichef.bbci.co.uk/news/1024/branded_news/817b/live/a3096250-f8f2-11ef-aa9e-0529c5c73157.jpg,2025-03-04T13:35:43Z,"Becky Morton
The US vice-president has sparked a row with comments he made about the potential involvement of international forces to police a peace deal in Ukraine.
UK opposition politicians accus… [+4132 chars]"
"{'id': None, 'name': 'BBC News'}",,US defence chief says return to Ukraine's 2014 borders 'unrealistic',The US defence secretary also says he does not see Ukraine joining Nato in the future.,https://www.bbc.com/news/articles/cy0pz3er37jo,https://ichef.bbci.co.uk/news/1024/branded_news/f4c7/live/3e7763a0-e94d-11ef-9923-ad5092970092.jpg,2025-02-12T14:46:44Z,"Pete Hegseth, the US defence secretary, has said it is ""unrealistic"" to expect Ukraine to return to its pre-2014 borders, when Russia first took control of Crimea.
Speaking at a meeting of the Ukrai… [+2780 chars]"
"{'id': None, 'name': 'BBC News'}",,"'Trump is a dark horse': Russians on the invasion of Ukraine, three years on",A BBC team asking Russians about their invasion of Ukraine draws police and state TV attention.,https://www.bbc.com/news/articles/ckgd0vdg34qo,https://ichef.bbci.co.uk/news/1024/branded_news/7f2c/live/0b5d9520-f05a-11ef-a319-fb4e7360c4ec.png,2025-02-22T00:31:44Z,"Steve Rosenberg
Recruitment posters for the invasion of Ukraine are everywhere in Russia
Driving into Tver, the first thing I notice are the soldiers.
They're everywhere. On billboards, the sides … [+5019 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Matthew Gault,Putin Dangles a Nuclear Arms Treaty While Accusing Ukraine of ‘Hysteria’,"As the U.S. and Russia decide the future of Ukraine without Kyiv, Putin teases the world with the possibility of nuclear arms control talks.",https://gizmodo.com/putin-dangles-a-nuclear-arms-treaty-while-accusing-ukraine-of-hysteria-2000566461,https://gizmodo.com/app/uploads/2024/09/Vladimir-Putin-at-a-meeting-at-the-Kremlin.jpg,2025-02-20T20:05:47Z,"The last remaining nuclear arms control treaty between the U.S. and Russia will expire in February 2026. While answering questions in St. Petersburg, Russian President Vladimir Putin dangled the poss… [+4198 chars]"
"{'id': None, 'name': 'BBC News'}",,"A weekend of frantic talks - where does it leave Zelensky, Trump and Europe",Where does a weekend of European support for Ukraine leave Zelensky's US relations after White House row?,https://www.bbc.com/news/articles/c62k9rr2wgvo,https://ichef.bbci.co.uk/news/1024/branded_news/ef8c/live/12e07c20-f818-11ef-8dde-aff9d405c81c.png,2025-03-03T12:04:47Z,"Laura Gozzi
Thomas Mackintosh
Ukrainian President Volodymyr Zelensky is back in Kyiv after three frantic days, which saw him ordered to leave the White House on Friday after a tense and public show… [+6019 chars]"
"{'id': None, 'name': 'BBC News'}",,'It's a new reality' - US stance on Ukraine a bitter blow to Zelensky,The BBC's Defence correspondent breaks down a drastic shift in Washington's position on the war in Ukraine.,https://www.bbc.com/news/videos/c334kyl37jmo,https://ichef.bbci.co.uk/news/1024/branded_news/3010/live/7ee63930-e974-11ef-a819-277e390a7a08.jpg,2025-02-12T19:14:09Z,"European nations must provide the ""overwhelming"" share of funding for Ukraine, the new US Defence Secretary has said, as he signalled a drastic shift in Washington's position on the war.
The BBC's D… [+145 chars]"
"{'id': None, 'name': 'BBC News'}",,EU leaders to hold defence summit in Paris,Leaders are also expected to discuss how the EU can further support Kyiv after the US suspended aid to Ukraine.,https://www.bbc.com/news/articles/c3w14gw3wwlo,https://ichef.bbci.co.uk/news/1024/branded_news/f712/live/fbb65b20-fa04-11ef-8253-81408cbb565c.jpg,2025-03-06T00:34:07Z,"European leaders are gathering in Brussels on Thursday for a special council on defence, as France's President Emmanuel Macron warned that the continent was at a ""turning point of history"".
As well … [+5168 chars]"
"{'id': None, 'name': 'BBC News'}",,Fact-checking Trump claims about war in Ukraine,President Donald Trump appeared to accuse Ukraine of being responsible for the war with Russia.,https://www.bbc.com/news/articles/c9814k2jlxko,https://ichef.bbci.co.uk/news/1024/branded_news/ca29/live/407c7240-eeba-11ef-b016-3f382c6f5494.jpg,2025-02-19T12:37:01Z,"Matt Murphy &amp; Jake Horton
US President Donald Trump has appeared to accuse Ukraine of being responsible for the war with Russia, in a flurry of claims from his Mar-a-Lago mansion in Florida.
Sp… [+5942 chars]"
"{'id': None, 'name': 'BBC News'}",,Trump echoes Russia as he upends US position on Ukraine,"While the sudden change in US foreign policy is dramatic, the president has been charting this course for years.",https://www.bbc.com/news/articles/c36wn949jxno,https://ichef.bbci.co.uk/news/1024/branded_news/782a/live/5616bb60-ef05-11ef-a319-fb4e7360c4ec.jpg,2025-02-19T22:26:32Z,"Anthony Zurcher
Trump questioned on Ukraine not being invited to US-Russia talks
If there were any lingering doubts about Donald Trump's view of the Ukraine war and America's support of Kyiv's figh… [+6953 chars]"
