learning_rate,n_steps,batch_size,gamma,gae_lambda,clip_range,ent_coef,final_value,total_return_pct,market_return_pct,outperformance_pct,sharpe_ratio,max_drawdown_pct
1e-05,512,64,0.99,0.95,0.1,0.01,9752.79222468221,-2.4720777531778912,-9.575557,7.103479210504283,0.22882226827399008,-41.87834740789585
5e-05,512,64,0.95,0.95,0.1,0.0,10832.80224980124,8.328022498012396,-9.575557,17.903579461694573,0.36269533315026287,-44.35726411079056
1e-05,512,128,0.95,0.95,0.2,0.0,9801.20408132338,-1.987959186766202,-9.575557,7.587597776915972,0.20993443360046507,-42.0010015834004
5e-05,1024,64,0.99,0.9,0.1,0.0,9608.64262905374,-3.9135737094625984,-9.575557,5.661983254219576,0.280397377118295,-45.59919124670705
0.0001,1024,128,0.99,0.95,0.2,0.0,9843.126793190308,-1.5687320680969241,-9.575557,8.00682489558525,0.23123456352925095,-49.38327209942264
1e-05,512,128,0.99,0.9,0.2,0.01,10047.044735495765,0.47044735495765055,-9.575557,10.046004318639826,0.23963157589329737,-41.19575475590494
1e-05,512,64,0.99,0.9,0.1,0.01,9760.39984963524,-2.3960015036476037,-9.575557,7.179555460034572,0.22255249456817564,-46.669331037955544
5e-05,1024,64,0.95,0.9,0.1,0.01,10235.32598213663,2.3532598213663007,-9.575557,11.928816785048475,0.29146816738151843,-45.28511719516837
0.0001,512,64,0.99,0.9,0.1,0.01,10264.770988323055,2.6477098832305455,-9.575557,12.22326684691272,0.2571460352207631,-41.96533041399948
0.0001,512,64,0.99,0.95,0.2,0.01,9770.727620669792,-2.292723793302084,-9.575557,7.282833170380091,0.2810697814604702,-47.40837979775788
5e-05,512,128,0.95,0.95,0.1,0.01,9972.783855235719,-0.27216144764281125,-9.575557,9.303395516039362,0.2516864386033937,-44.25851057420128
5e-05,512,128,0.95,0.95,0.2,0.01,11095.731115872435,10.95731115872435,-9.575557,20.532868122406526,0.39485449876096024,-44.21369653024332
0.0001,1024,128,0.99,0.95,0.2,0.01,10049.757967551624,0.4975796755162446,-9.575557,10.07313663919842,0.2351764426796789,-48.7025043900261
1e-05,1024,64,0.99,0.9,0.1,0.0,9886.571411609686,-1.1342858839031396,-9.575557,8.441271079779035,0.25995606330261406,-46.06599270431955
