learning_rate,n_steps,batch_size,gamma,gae_lambda,clip_range,ent_coef
1e-05,512,64,0.99,0.95,0.1,0.01
5e-05,512,64,0.95,0.95,0.1,0.0
1e-05,512,128,0.95,0.95,0.2,0.0
5e-05,1024,64,0.99,0.9,0.1,0.0
0.0001,1024,128,0.99,0.95,0.2,0.0
1e-05,512,128,0.99,0.9,0.2,0.01
1e-05,512,64,0.99,0.9,0.1,0.01
5e-05,1024,64,0.95,0.9,0.1,0.01
0.0001,512,64,0.99,0.9,0.1,0.01
0.0001,512,64,0.99,0.95,0.2,0.01
5e-05,512,128,0.95,0.95,0.1,0.01
5e-05,512,128,0.95,0.95,0.2,0.01
0.0001,1024,128,0.99,0.95,0.2,0.01
1e-05,1024,64,0.99,0.9,0.1,0.0
1e-05,1024,64,0.95,0.9,0.2,0.0
5e-05,512,128,0.95,0.95,0.2,0.0
0.0001,1024,128,0.95,0.95,0.2,0.0
0.0001,1024,128,0.95,0.95,0.1,0.01
1e-05,1024,128,0.99,0.95,0.2,0.0
1e-05,1024,64,0.99,0.9,0.1,0.01
1e-05,512,64,0.95,0.9,0.1,0.0
5e-05,1024,64,0.99,0.95,0.2,0.01
0.0001,1024,128,0.99,0.95,0.1,0.01
0.0001,512,128,0.99,0.9,0.1,0.0
5e-05,1024,64,0.95,0.9,0.1,0.0
1e-05,512,128,0.95,0.9,0.1,0.01
1e-05,512,64,0.95,0.9,0.1,0.01
5e-05,512,128,0.95,0.9,0.1,0.0
5e-05,1024,128,0.95,0.9,0.2,0.0
1e-05,512,128,0.99,0.9,0.2,0.0
1e-05,512,64,0.99,0.9,0.2,0.01
1e-05,512,128,0.95,0.95,0.2,0.01
1e-05,1024,64,0.95,0.95,0.1,0.0
1e-05,1024,64,0.95,0.9,0.1,0.0
1e-05,512,64,0.95,0.95,0.1,0.01
5e-05,512,64,0.99,0.9,0.2,0.0
5e-05,1024,64,0.99,0.95,0.2,0.0
0.0001,512,128,0.95,0.9,0.2,0.0
5e-05,1024,128,0.99,0.9,0.2,0.0
5e-05,512,64,0.95,0.9,0.2,0.01
5e-05,1024,128,0.99,0.9,0.1,0.0
0.0001,1024,128,0.99,0.9,0.1,0.01
5e-05,512,64,0.99,0.95,0.2,0.0
0.0001,1024,128,0.95,0.95,0.1,0.0
0.0001,512,64,0.95,0.95,0.1,0.01
5e-05,1024,128,0.99,0.9,0.2,0.01
1e-05,1024,128,0.95,0.95,0.1,0.0
0.0001,512,64,0.95,0.95,0.2,0.0
0.0001,1024,64,0.95,0.95,0.1,0.0
1e-05,512,64,0.95,0.9,0.2,0.01
5e-05,1024,64,0.95,0.95,0.1,0.01
0.0001,512,64,0.95,0.9,0.2,0.01
0.0001,1024,64,0.99,0.9,0.2,0.0
0.0001,1024,128,0.95,0.95,0.2,0.01
5e-05,1024,128,0.99,0.95,0.1,0.0
0.0001,512,128,0.95,0.9,0.2,0.01
5e-05,1024,64,0.99,0.9,0.2,0.01
5e-05,512,128,0.99,0.95,0.2,0.01
0.0001,512,64,0.95,0.9,0.2,0.0
1e-05,512,64,0.99,0.9,0.1,0.0
1e-05,1024,64,0.99,0.95,0.2,0.0
1e-05,512,128,0.95,0.95,0.1,0.01
0.0001,512,64,0.99,0.9,0.2,0.0
0.0001,1024,64,0.99,0.9,0.1,0.0
1e-05,1024,64,0.99,0.9,0.2,0.01
1e-05,1024,64,0.99,0.9,0.2,0.0
5e-05,1024,128,0.99,0.95,0.2,0.01
5e-05,512,64,0.95,0.95,0.2,0.0
1e-05,1024,128,0.95,0.9,0.2,0.0
5e-05,1024,128,0.95,0.9,0.1,0.01
0.0001,512,128,0.95,0.95,0.2,0.0
5e-05,512,128,0.99,0.95,0.1,0.0
1e-05,1024,128,0.99,0.9,0.2,0.0
1e-05,1024,128,0.95,0.9,0.1,0.01
5e-05,512,64,0.99,0.9,0.1,0.01
5e-05,1024,64,0.95,0.9,0.2,0.01
5e-05,1024,128,0.99,0.95,0.1,0.01
1e-05,512,64,0.95,0.9,0.2,0.0
1e-05,512,128,0.99,0.9,0.1,0.0
5e-05,512,64,0.99,0.9,0.2,0.01
0.0001,1024,64,0.95,0.9,0.1,0.01
5e-05,1024,64,0.99,0.9,0.2,0.0
0.0001,1024,64,0.99,0.95,0.2,0.01
0.0001,512,64,0.99,0.95,0.1,0.0
0.0001,1024,64,0.95,0.95,0.1,0.01
1e-05,1024,64,0.99,0.95,0.1,0.01
1e-05,512,128,0.99,0.95,0.1,0.01
1e-05,1024,128,0.95,0.9,0.2,0.01
0.0001,1024,128,0.99,0.9,0.2,0.01
5e-05,512,64,0.95,0.9,0.1,0.0
0.0001,512,128,0.95,0.95,0.2,0.01
1e-05,512,64,0.95,0.95,0.2,0.01
5e-05,512,128,0.95,0.9,0.1,0.01
0.0001,512,128,0.99,0.95,0.2,0.01
1e-05,1024,128,0.99,0.95,0.2,0.01
5e-05,1024,64,0.99,0.95,0.1,0.01
0.0001,512,64,0.99,0.95,0.1,0.01
5e-05,1024,64,0.99,0.9,0.1,0.01
5e-05,512,64,0.95,0.95,0.1,0.01
1e-05,1024,128,0.99,0.95,0.1,0.01
0.0001,1024,64,0.99,0.9,0.1,0.01
1e-05,512,128,0.95,0.9,0.2,0.01
5e-05,1024,64,0.95,0.95,0.2,0.01
1e-05,1024,128,0.99,0.9,0.1,0.0
1e-05,1024,128,0.95,0.9,0.1,0.0
1e-05,1024,128,0.99,0.9,0.2,0.01
0.0001,512,128,0.99,0.95,0.1,0.01
0.0001,512,64,0.95,0.95,0.2,0.01
0.0001,1024,64,0.95,0.95,0.2,0.0
5e-05,1024,128,0.95,0.95,0.2,0.01
0.0001,512,128,0.99,0.9,0.1,0.01
0.0001,1024,64,0.95,0.9,0.2,0.01
0.0001,512,128,0.99,0.95,0.2,0.0
0.0001,512,128,0.99,0.9,0.2,0.01
0.0001,1024,128,0.95,0.9,0.1,0.01
1e-05,1024,128,0.95,0.95,0.2,0.01
1e-05,1024,128,0.95,0.95,0.1,0.01
0.0001,1024,64,0.99,0.9,0.2,0.01
0.0001,1024,128,0.95,0.9,0.2,0.01
0.0001,512,64,0.95,0.95,0.1,0.0
5e-05,512,64,0.95,0.9,0.1,0.01
0.0001,512,128,0.95,0.95,0.1,0.01
